Language,Family
Ge'ez,Afroasiatic
Seychellois Creole,creole or pidgin
Yucatec Maya,Mayan
Old Persian,Indo-European
Abkhaz,North Caucasian
Latgalian,Indo-European
Masbatenyo,Austronesian
Choctaw,Muskogean
White Hmong,Hmong-Mien
Eastern Lawa,Austroasiatic
Lü,Kra-Dai
Khakas,Turkic
Iu Mien,Hmong-Mien
Plains Cree,Algic
Pitjantjatjara,Pama-Nyungan
Sichuan Yi,Sino-Tibetan
Kalmyk,Mongolic
Lashi,Sino-Tibetan
Dzongkha,Sino-Tibetan
Vai,Niger-Congo
Dhivehi,Indo-European
Guinea-Bissau Creole,creole or pidgin
Bhojpuri,Indo-European
Old Czech,Indo-European
Old Japanese,Japonic
Even,Tungusic
Bavarian,Indo-European
Mòcheno,Indo-European
Lezgi,North Caucasian
Proto-Uralic,Uralic
Aklanon,Austronesian
Zou,Sino-Tibetan
Tongan,Austronesian
Jamaican Creole,creole or pidgin
ǃXóõ,Tuu
Hadza,isolate
Yurok,Algic
Rukai,Austronesian
Saanich,Salishan
Tsonga,Niger-Congo
Dolgan,Turkic
Sidamo,Afroasiatic
Komi-Permyak,Uralic
Northern Sotho,Niger-Congo
Udmurt,Uralic
Proto-Balto-Slavic,Indo-European
Tlingit,Dene-Yeniseian
Laboya,Austronesian
Sinhalese,Indo-European
Farefare,Niger-Congo
Sindhi,Indo-European
Sylheti,Indo-European
Proto-Bantu,Niger-Congo
Malecite-Passamaquoddy,Algic
Leonese,Indo-European
Old Prussian,Indo-European
Tahitian,Austronesian
Venda,Niger-Congo
Murui Huitoto,Huitoto-Ocaina
Tswana,Niger-Congo
American Sign Language,sign language
'Are'are,Austronesian
Abinomn,isolate
Nivkh,isolate
Yagara,Pama-Nyungan
Antillean Creole,creole or pidgin
Guaraní,Tupian
West Flemish,Indo-European
Elfdalian,Indo-European
Old Tupi,Tupian
Proto-Iranian,Indo-European
Moore,Niger-Congo
Mycenaean Greek,Indo-European
Kabyle,Afroasiatic
Kildin Sami,Uralic
Lubuagan Kalinga,Austronesian
Tigre,Afroasiatic
Jingpho,Sino-Tibetan
Mecayapan Nahuatl,Uto-Aztecan
Semai,Austroasiatic
Proto-Mixtec,Oto-Manguean
K'iche',Mayan
S'gaw Karen,Sino-Tibetan
Middle Persian,Indo-European
Western Huasteca Nahuatl,Uto-Aztecan
Maguindanao,Austronesian
Southern Sami,Uralic
Biao,Kra-Dai
Nzadi,Niger-Congo
Avestan,Indo-European
North Levantine Arabic,Afroasiatic
Rohingya,Indo-European
Rusyn,Indo-European
Ese,Trans-New Guinea
Old East Slavic,Indo-European
Kanakanabu,Austronesian
Eastern Arrernte,Pama-Nyungan
Proto-Algonquian,Algic
Thao,Austronesian
Yámana,isolate
Wiradhuri,Pama-Nyungan
Dibabawon Manobo,Austronesian
Proto-Austronesian,Austronesian
Hittite,Indo-European
Shor,Turkic
Eastern Maninkakan,Niger-Congo
Gagauz,Turkic
Tabasaran,North Caucasian
Aleut,Eskimo-Aleut
Proto-Semitic,Afroasiatic
Tundra Nenets,Uralic
Bahnar,Austroasiatic
Middle Low German,Indo-European
Pipil,Uto-Aztecan
Acehnese,Austronesian
Rajasthani,Indo-European
Udi,North Caucasian
Chavacano,creole or pidgin
Ume Sami,Uralic
Miyako,Japonic
Hopi,Uto-Aztecan
San Juan Quiahije Chatino,Oto-Manguean
Yup'ik,Eskimo-Aleut
Brooke's Point Palawano,Austronesian
Purepecha,isolate
Ngarrindjeri,Pama-Nyungan
Aiwoo,Austronesian
Palauan,Austronesian
Toki Pona,constructed
Arapaho,Algic
Yakan,Austronesian
Carrier,Dene-Yeniseian
Gallo,Indo-European
Mansi,Uralic
Itelmen,Chukotko-Kamchatkan
Eastern Mari,Uralic
Kambera,Austronesian
Abenaki,Algic
Proto-Malayic,Austronesian
Tulu,Dravidian
Ashokan Prakrit,Indo-European
Old Marathi,Indo-European
Asi,Austronesian
Proto-Hellenic,Indo-European
A'ou,Kra-Dai
Vaghri,Indo-European
Kachchi,Indo-European
Noone,Niger-Congo
Libyan Arabic,Afroasiatic
Menominee,Algic
Proto-Japonic,Japonic
Central Sierra Miwok,Yok-Utian
Manipuri,Sino-Tibetan
Proto-Sino-Tibetan,Sino-Tibetan
Wauja,Arawakan
Maharastri Prakrit,Indo-European
San Pedro Amuzgos Amuzgo,Oto-Manguean
Igbo,Niger-Congo
Phoenician,Afroasiatic
Yagnobi,Indo-European
Highland Popoluca,Mixe-Zoquean
Extremaduran,Indo-European
Italiot Greek,Indo-European
Proto-Basque,Vasconic
Yonaguni,Japonic
Khorezmian Turkic,Turkic
Nyah Kur,Austroasiatic
Mi'kmaq,Algic
Chamorro,Austronesian
Fiji Hindi,Indo-European
Tai Dam,Kra-Dai
Western Bukidnon Manobo,Austronesian
Yamphu,Sino-Tibetan
Mazanderani,Indo-European
Ter Sami,Uralic
Bislama,creole or pidgin
Wiyot,Algic
Early Assamese,Indo-European
Pohnpeian,Austronesian
Northern Ohlone,Yok-Utian
Scanian,Indo-European
Western Lawa,Austroasiatic
Fanagalo,creole or pidgin
Barngarla,Pama-Nyungan
Matal,Afroasiatic
Khowar,Indo-European
Middle High German,Indo-European
Tsou,Austronesian
Khaling,Sino-Tibetan
Southern Yukaghir,Yukaghir
Picard,Indo-European
Mayo,Uto-Aztecan
Yaeyama,Japonic
Akan,Niger-Congo
Kunigami,Japonic
O'odham,Uto-Aztecan
Dongxiang,Mongolic
Tzotzil,Mayan
Kaurna,Pama-Nyungan
Proto-Polynesian,Austronesian
Southeastern Tepehuan,Uto-Aztecan
Nias,Austronesian
Proto-Ryukyuan,Japonic
Lingua Franca Nova,constructed
Proto-Nakh,North Caucasian
Proto-Vietic,Austroasiatic
Karachay-Balkar,Turkic
Muak Sa-aak,Austroasiatic
Old South Arabian,Afroasiatic
Mezquital Otomi,Oto-Manguean
Ulch,Tungusic
Nauruan,Austronesian
Tabaru,West Papuan
Gaulish,Indo-European
Middle Welsh,Indo-European
Limbu,Sino-Tibetan
Gandhari,Indo-European
Northern Thai,Kra-Dai
Zoogocho Zapotec,Oto-Manguean
Mang,Austroasiatic
Norn,Indo-European
Teposcolula Mixtec,Oto-Manguean
Yosondúa Mixtec,Oto-Manguean
Bouyei,Kra-Dai
Northern Puebla Nahuatl,Uto-Aztecan
Southwestern Fars,Indo-European
Wutunhua,unclassified
Guugu Yimidhirr,Pama-Nyungan
Khitan,Mongolic
Mwani,Niger-Congo
Old Turkic,Turkic
Tiruray,Austronesian
Torres Strait Creole,creole or pidgin
Tai Nüa,Kra-Dai
Slavomolisano,Indo-European
Martuthunira,Pama-Nyungan
Old Nubian,Nilo-Saharan
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,Uto-Aztecan
Kamba,Niger-Congo
Kaqchikel,Mayan
Kott,Dene-Yeniseian
Lolopo,Sino-Tibetan
Proto-Mon-Khmer,Austroasiatic
Abaga,Trans-New Guinea
Dutch Low Saxon,Indo-European
Archi,North Caucasian
Old Danish,Indo-European
Squamish,Salishan
Koasati,Muskogean
Svan,Kartvelian
Warlpiri,Pama-Nyungan
Braj,Indo-European
Saaroa,Austronesian
San Juan Atzingo Popoloca,Oto-Manguean
Munsee,Algic
Samogitian,Indo-European
Maia,Trans-New Guinea
Omok,Yukaghir
Chibcha,Macro-Chibchan
Maithili,Indo-European
Niya Prakrit,Indo-European
Solon,Tungusic
Toba Batak,Austronesian
Alutor,Chukotko-Kamchatkan
Guerrero Nahuatl,Uto-Aztecan
Klallam,Salishan
Pnar,Austroasiatic
Rotokas,North Bougainville
Etruscan,Tyrsenian
Rayón Zoque,Mixe-Zoquean
Wolio,Austronesian
Bats,North Caucasian
Proto-Norse,Indo-European
Western Kayah,Sino-Tibetan
Kalo Finnish Romani,Indo-European
Northern Catanduanes Bicolano,Austronesian
Udihe,Tungusic
Assyrian Neo-Aramaic,Afroasiatic
Jamamadí,Arauan
Kolami,Dravidian
Morelos Nahuatl,Uto-Aztecan
Tataltepec Chatino,Oto-Manguean
Seri,isolate
Old Tamil,Dravidian
Kriol,creole or pidgin
Pa'o Karen,Sino-Tibetan
Proto-Nguni,Niger-Congo
Cheyenne,Algic
Chichicapan Zapotec,Oto-Manguean
Hajong,mixed
Kholosi,Indo-European
Mwan,Niger-Congo
Crimean Gothic,Indo-European
Gong,Sino-Tibetan
Kankanaey,Austronesian
Ometepec Nahuatl,Uto-Aztecan
Punic,Afroasiatic
Rawang,Sino-Tibetan
Central Tarahumara,Uto-Aztecan
Minangkabau,Austronesian
Old Punjabi,Indo-European
Proto-Albanian,Indo-European
Proto-Tungusic,Tungusic
Andi,North Caucasian
Tumbuka,Niger-Congo
Darkinjung,Pama-Nyungan
Orizaba Nahuatl,Uto-Aztecan
Garifuna,Arawakan
Awadhi,Indo-European
Isan,Kra-Dai
Tarifit,Afroasiatic
Jarai,Austronesian
Okanagan,Salishan
Papantla Totonac,Totonacan
Shuar,Jivaroan
South Slavey,Dene-Yeniseian
Yakkha,Sino-Tibetan
Karakhanid,Turkic
Northern Paiute,Uto-Aztecan
Orok,Tungusic
Proto-Circassian,North Caucasian
Crow,Siouan-Catawban
Highland Puebla Nahuatl,Uto-Aztecan
Lillooet,Salishan
Tangut,Sino-Tibetan
Chong,Austroasiatic
Mohegan-Pequot,Algic
Southern Ohlone,Yok-Utian
Burushaski,isolate
Proto-Dravidian,Dravidian
San Miguel el Grande Mixtec,Oto-Manguean
Temascaltepec Nahuatl,Uto-Aztecan
Bandjalang,Pama-Nyungan
Bau Bidayuh,Austronesian
Kokborok,Sino-Tibetan
Muong,Austroasiatic
Old Korean,Koreanic
Ratagnon,Austronesian
Turoyo,Afroasiatic
Chinook Jargon,creole or pidgin
Cuyunon,Austronesian
Isnag,Austronesian
Saek,Kra-Dai
Chagatai,Turkic
Drehu,Austronesian
Alabama,Muskogean
Aymara,Aymaran
Cia-Cia,Austronesian
Niuean,Austronesian
Alangan,Austronesian
Lala (South Africa),Niger-Congo
Moroccan Amazigh,Afroasiatic
Northern East Cree,Algic
Pangutaran Sama,Austronesian
Budukh,North Caucasian
Coatepec Nahuatl,Uto-Aztecan
Doteli,Indo-European
Huichol,Uto-Aztecan
Istro-Romanian,Indo-European
Lishana Deni,Afroasiatic
Old Hindi,Indo-European
Talysh,Indo-European
Zacatepec Chatino,Oto-Manguean
ǃKung,Kx'a
Faliscan,Indo-European
Mandaic,Afroasiatic
Taroko,Austronesian
Western Pwo,Sino-Tibetan
Caló,mixed
Central Melanau,Austronesian
Magdalena Peñasco Mixtec,Oto-Manguean
Mandinka,Niger-Congo
Pangasinan,Austronesian
Shabo,Nilo-Saharan
Hlai,Kra-Dai
Koryak,Chukotko-Kamchatkan
Proto-Mongolic,Mongolic
Bassa,Niger-Congo
Comanche,Uto-Aztecan
Gamale Kham,Sino-Tibetan
Ibaloi,Austronesian
Luo,Nilo-Saharan
Nigerian Pidgin,creole or pidgin
Umbundu,Niger-Congo
Ajië,Austronesian
Ibatan,Austronesian
Mohawk,Iroquoian
Nganasan,Uralic
Proto-Oceanic,Austronesian
Sudovian,Indo-European
Tagakaulu Kalagan,Austronesian
Isthmus Zapotec,Oto-Manguean
Pijin,creole or pidgin
Banjarese,Austronesian
Bolak,constructed
Kurtop,Sino-Tibetan
Bodo (India),Sino-Tibetan
Buginese,Austronesian
Chakma,Indo-European
Gooniyandi,Bunuban
Ladakhi,Sino-Tibetan
Nihali,isolate
Totontepec Mixe,Mixe-Zoquean
Welsh Romani,Indo-European
Chayuco Mixtec,Oto-Manguean
East Central German,Indo-European
Saisiyat,Austronesian
San Juan Guelavía Zapotec,Oto-Manguean
Cree,Algic
Nogai,Turkic
Nyunga,Pama-Nyungan
Proto-Philippine,Austronesian
Borôro,Macro-Jê
Chukchi,Chukotko-Kamchatkan
Karo Batak,Austronesian
Maricopa,Yuman-Cochimí
Matigsalug Manobo,Austronesian
Mopan Maya,Mayan
Talossan,constructed
Tezoatlán Mixtec,Oto-Manguean
Tuvaluan,Austronesian
Balantak,Austronesian
Champenois,Indo-European
Gwich'in,Dene-Yeniseian
Kamassian,Uralic
Ket,Dene-Yeniseian
Karakalpak,Turkic
Luwian,Indo-European
Negidal,Tungusic
Zealandic,Indo-European
Amanab,Border
Binukid,Austronesian
Blagar,Trans-New Guinea
Cora,Uto-Aztecan
Iban,Austronesian
Iraqi Arabic,Afroasiatic
Malvi,Indo-European
Proto-Abkhaz-Abaza,North Caucasian
Tagabawa,Austronesian
Woiwurrung,Pama-Nyungan
Bulgar,Turkic
Khanty,Uralic
Northern Tepehuan,Uto-Aztecan
Yatzachi Zapotec,Oto-Manguean
Abaza,North Caucasian
Fala,Indo-European
Maore Comorian,Niger-Congo
Samaritan Aramaic,Afroasiatic
Tboli,Austronesian
Yapese,Austronesian
Daur,Mongolic
Garhwali,Indo-European
Huave,isolate
Ibanag,Austronesian
Kayapa Kallahan,Austronesian
Mewari,Indo-European
Mozarabic,Indo-European
San Juan Colorado Mixtec,Oto-Manguean
Slovincian,Indo-European
Alcozauca Mixtec,Oto-Manguean
Arikara,Caddoan
Baha,Kra-Dai
Carian,Indo-European
Copala Triqui,Oto-Manguean
Francisco León Zoque,Mixe-Zoquean
Isthmus Mixe,Mixe-Zoquean
Ivatan,Austronesian
Jakaltek,Mayan
Old Kannada,Dravidian
West Coast Bajau,Austronesian
Dinka,Nilo-Saharan
Megleno-Romanian,Indo-European
Northern Yukaghir,Yukaghir
Pochutec,Uto-Aztecan
Sholaga,Dravidian
Southern Kurdish,Indo-European
Chiquihuitlán Mazatec,Oto-Manguean
Gutnish,Indo-European
Kagayanen,Austronesian
Montana Salish,Salishan
Paiwan,Austronesian
Proto-Mayan,Mayan
Tambora,Papuan
Tübatulabal,Uto-Aztecan
Bella Coola,Salishan
Bishnupriya Manipuri,Indo-European
Bolinao,Austronesian
Pumpokol,Dene-Yeniseian
Shina,Indo-European
Vandalic,Indo-European
Western Mari,Uralic
Dargwa,North Caucasian
Lydian,Indo-European
Meriam,Trans-New Guinea
Meroitic,Afroasiatic
Middle Vietnamese,Austroasiatic
Minoan,unclassified
Proto-Algic,Algic
Chinese Pidgin English,creole or pidgin
Gunwinggu,Arnhem
Madurese,Austronesian
Mizo,Sino-Tibetan
Old Novgorodian,Indo-European
Proto-Tocharian,Indo-European
Pukapukan,Austronesian
Salar,Turkic
Dacian,Indo-European
Kom (Cameroon),Niger-Congo
Marwari,Indo-European
Proto-Kartvelian,Kartvelian
Demotic,Afroasiatic
Halkomelem,Salishan
Old Uyghur,Turkic
Proto-Chatino,Oto-Manguean
Central Mazahua,Oto-Manguean
Ngaju,Austronesian
Pitcairn-Norfolk,creole or pidgin
Rade,Austronesian
Eskayan,constructed
Hiri Motu,creole or pidgin
Krio,creole or pidgin
Bunun,Austronesian
Bura,Afroasiatic
Dharug,Pama-Nyungan
Dogri,Indo-European
Dyula,Niger-Congo
Judeo-Tat,Indo-European
Kalami,Indo-European
Lak,North Caucasian
Parthian,Indo-European
Saraiki,Indo-European
Columbia-Wenatchi,Salishan
Keley-I Kallahan,Austronesian
Koyraboro Senni,Nilo-Saharan
Luganda,Niger-Congo
Láadan,constructed
Seneca,Iroquoian
Simalungun Batak,Austronesian
Aquitanian,Vasconic
Ayu,Niger-Congo
Bakhtiari,Indo-European
Dumbea,Austronesian
Khoekhoe,Khoe-Kwadi
Kven,Uralic
Ngiyambaa,Pama-Nyungan
Paipai,Yuman-Cochimí
Sango,creole or pidgin
Soninke,Niger-Congo
Wanyi,Garawan
Belizean Creole,creole or pidgin
Kaingang,Macro-Jê
Khamti,Kra-Dai
Lacandon,Mayan
Lozi,Niger-Congo
Nyishi,Sino-Tibetan
Old Median,Indo-European
Paraguayan Guaraní,Tupian
Pawnee,Caddoan
Proto-Tai,Kra-Dai
Wathaurong,Pama-Nyungan
West Albay Bikol,Austronesian
Alutiiq,Eskimo-Aleut
Alviri-Vidari,Indo-European
Arabela,Zaparoan
Cappadocian Greek,Indo-European
Icelandic Sign Language,sign language
Kongo,Niger-Congo
Lapine,constructed
Lycian,Indo-European
Matlatzinca,Oto-Manguean
Pattani Malay,Austronesian
Proto-Arawak,Arawakan
Rajbanshi,Indo-European
Tsakonian,Indo-European
Western Juxtlahuaca Mixtec,Oto-Manguean
Bactrian,Indo-European
Bukiyip,Torricelli
Gokana,Niger-Congo
Jarawa,Ongan
Khiamniungan Naga,Sino-Tibetan
Laki,Indo-European
Luhya,Niger-Congo
Nivaclé,Mataco-Guaicuru
Proto-Uto-Aztecan,Uto-Aztecan
Torwali,Indo-European
Urum,Turkic
Zaghawa,Nilo-Saharan
Arin,Dene-Yeniseian
Dama (Sierra Leone),Niger-Congo
Dogrib,Dene-Yeniseian
Khinalug,North Caucasian
Khvarshi,North Caucasian
Kristang,creole or pidgin
Lote,Austronesian
Miskito,Macro-Chibchan
Ngazidja Comorian,Niger-Congo
Proto-Nahuan,Uto-Aztecan
Samaritan Hebrew,Afroasiatic
Teressa,Austroasiatic
Tojolabal,Mayan
Tolai,Austronesian
Yoron,Japonic
Blackfoot,Algic
Garawa,Garawan
Gorontalo,Austronesian
Hawaiian Creole,creole or pidgin
Jamtish,Indo-European
Tehuelche,Chonan
Umbrian,Indo-European
Upper Chehalis,Salishan
Betawi,creole or pidgin
Michoacán Nahuatl,Uto-Aztecan
Thompson,Salishan
Thracian,Indo-European
Transylvanian Saxon,Indo-European
Wakhi,Indo-European
Washo,unclassified
Wastek,Mayan
Ahom,Kra-Dai
Algonquin,Algic
Dagbani,Niger-Congo
Domari,Indo-European
Indo-Portuguese,creole or pidgin
Middle Bengali,Indo-European
Pela,Sino-Tibetan
San Martín Itunyoso Triqui,Oto-Manguean
Sasak,Austronesian
Taivoan,Austronesian
Tashelhit,Afroasiatic
Weyewa,Austronesian
Written Oirat,Mongolic
Bezhta,North Caucasian
Gofa,Afroasiatic
Kumeyaay,Yuman-Cochimí
Lepcha,Sino-Tibetan
Meänkieli,Uralic
Tat,Indo-European
Tsat,Austronesian
Tunisian Arabic,Afroasiatic
Wallisian,Austronesian
Central Cagayan Agta,Austronesian
Chicahuaxtla Triqui,Oto-Manguean
Chipewyan,Dene-Yeniseian
Gilbertese,Austronesian
Guerrero Amuzgo,Oto-Manguean
Kamta,Indo-European
Krisa,Sko
Michif,mixed
Yaqui,Uto-Aztecan
ǁAni,Khoe-Kwadi
Adnyamathanha,Pama-Nyungan
